title,budget,gross,mpaa,running_time,genre,year
Tempest,13000000,5005245.0,PG,"140.0,",Comedy,1982
Young Doctors in Love,0,30688860.0,R,"96.0,",Comedy,1982
My Favorite Year,0,20123620.0,PG,"92.0,",Comedy,1982
Still of the Night,10000000,5979947.0,PG,"93.0,",Crime,1982
Parasite,800000,2270.0,R,"85.0,",Horror,1982
Making Love,0,11897978.0,R,"113.0,",Drama,1982
Honkytonk Man,2000000,4484991.0,PG,"122.0,",Comedy,1982
The Beast Within,0,7742572.0,R,"98.0,",Horror,1982
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",850000,840958.0,PG,"109.0,",Comedy,1982
The Final Option,6000000,2666873.0,R,"125.0,",Action,1982
Trail of the Pink Panther,6000000,9056073.0,PG,"96.0,",Comedy,1982
The Sender,0,1054328.0,R,"91.0,",Drama,1982
The Border,22000000,6118683.0,R,"108.0,",Crime,1982
Kiss Me Goodbye,0,15782759.0,PG,"101.0,",Comedy,1982
A Midsummer Night's Sex Comedy,0,9077269.0,PG,"88.0,",Comedy,1982
Vice Squad,0,13253583.0,R,"97.0,",Action,1982
Best Friends,15000000,36821203.0,PG,"116.0,",Comedy,1982
Shoot the Moon,12000000,9217530.0,R,"124.0,",Drama,1982
Lookin' to Get Out,17000000,946461.0,R,"105.0,",Comedy,1982
Barbarosa,11000000,1736123.0,PG,"90.0,",Western,1982
Visiting Hours,0,13258670.0,R,"103.0,",Horror,1982
A Little Sex,0,2370376.0,R,"95.0,",Comedy,1982
Class Reunion,0,10054150.0,R,"84.0,",Comedy,1982
Hanky Panky,0,9823934.0,PG,"110.0,",Action,1982
Author! Author!,0,13111101.0,PG,"110.0,",Comedy,1982
Split Image,0,263635.0,R,"110.0,",Drama,1982
The Challenge,0,2977706.0,R,"108.0,",Action,1982
The Soldier,4000000,6328816.0,R,"96.0,",Action,1982
Wrong Is Right,10000000,3583513.0,R,"117.0,",Comedy,1982
Six Weeks,0,6668025.0,PG,"107.0,",Drama,1982
Jekyll and Hyde... Together Again,5000000,3792188.0,R,"87.0,",Sci-Fi,1982
Forced Vengeance,5000000,6660333.0,R,"90.0,",Action,1982
The Missionary,0,7241180.0,R,"90.0,",Comedy,1982
The Escape Artist,0,143369.0,PG,"94.0,",Comedy,1982
Night Crossing,10000000,8000000.0,PG,"107.0,",Drama,1982
Endangered Species,0,1474249.0,R,"97.0,",Drama,1982
Things Are Tough All Over,7000000,21134374.0,R,"90.0,",Action,1982
Homework,0,2914328.0,R,"90.0,",Comedy,1982
Jinxed!,13400000,2869638.0,R,"103.0,",Comedy,1982
The Return of Martin Guerre,0,3723036.0,Not Rated,"112.0,",Biography,1982
They Call Me Bruce,0,16894678.0,PG,"87.0,",Action,1982
Some Kind of Hero,0,23671186.0,R,"97.0,",Comedy,1982
Hammett,0,42914.0,PG,"97.0,",Crime,1982
Five Days One Summer,15000000,199078.0,PG,"108.0,,",Drama,1982
Penitentiary II,0,3178542.0,R,"108.0,",Crime,1982
If You Could See What I Hear,0,8693512.0,PG,"103.0,",Biography,1982
Partners,6000000,6062898.0,R,"93.0,",Comedy,1982
Richard Pryor: Live on the Sunset Strip,0,36299720.0,R,"82.0,",Comedy,1982
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,0,78350.0,G,"74.0,",Animation,1982
Monsignor,0,12408066.0,R,"121.0,",Crime,1982
"Yes, Giorgio",19000000,2279543.0,PG,"110.0,",Comedy,1982
I Ought to Be in Pictures,0,6968359.0,PG,"108.0,",Comedy,1982
La traviata,0,3783329.0,G,"109.0,",Drama,1982
